,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
23,chun_man17,"Jun 26th, 2020 4:47 pm",,"Jun 26th, 2020 4:59 pm",Computers & Electronics,299.99,1,$200 off,Amazon.ca,Peripherals & Accessories,Canon PIXMA PRO-100 13-Inch x 19-Inch Professional Photo Inkjet Printer $299.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FCanon-PRO-100-13-Inch-Professional-6228B003%2Fdp%2FB009ND8CIW%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3DCanon%2BPIXMA%2BPRO-100%26qid%3D1593204328%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,884,3
24,cyndihuu,"Jun 25th, 2020 6:54 pm",,"Jun 26th, 2020 4:57 pm",Apparel,,10,60% off,Victoria Secret,Women's Apparel,Up to 60% off Victoria’s Secret Semi-Annual Sale,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.victoriassecret.com%2Fca%2F,6018,16
25,Styleman,"Jun 26th, 2020 4:39 pm",,"Jun 26th, 2020 4:39 pm",Computers & Electronics,,0,,GOG.com,Video Games,"Free Cyberpunk 2077 ""Goodies"" Collection - NOT the actual game",https://www.gog.com/game/cyberpunk_2077_goodies_collection,1451,15
26,SamG852,"Jun 26th, 2020 1:23 pm","August 2, 2020","Jun 26th, 2020 4:31 pm",Beauty & Wellness,39.99,9,20,Costco,Other,COSTCO members 5 pack Philips Sonicare Diamond Clean Brush Heads 39.99,https://www.costco.ca/Philips-Sonicare-DiamondClean-Brush-Heads-5-pack.product.100399845.html,2571,11
27,Jorpho,"Jun 24th, 2020 2:33 pm",,"Jun 26th, 2020 4:27 pm",Computers & Electronics,1.35,4,,,Video Games,[PC] Use Your Words (JPP-style party game) $1.35 in Fanatical Build Your Own Lockdown Bundle 2,http://www.tkqlhce.com/click-749547-13212017?url=https%3A%2F%2Fwww.fanatical.com%2Fen%2Fpick-and-mix%2Fbuild-your-own-lockdown-bundle-2%3Futm_source%3DFacebook%26utm_medium%3Dsocial%26utm_campaign%3DBundle%2BBuildYourOwnLockdown2&amp;sid=rfdcb,1363,8
28,ontheroad,"Jun 26th, 2020 10:17 am",,"Jun 26th, 2020 4:21 pm",,999.99,6,,Costco,Sports & Fitness,costco: Marcy Combo Smith Cage Machine with Workout Bench and Weight Bar 999.99,https://www.costco.ca/marcy-combo-smith-cage-machine-with-workout-bench-and-weight-bar.product.100384899.html,2211,1
29,wax888,"Jun 26th, 2020 4:10 pm",,"Jun 26th, 2020 4:10 pm",Home & Garden,39.99,0,,Linen Chest,Appliances,Starfrit The Rock Indoor Smokeless BBQ Grill $39.99,http://www.tkqlhce.com/click-749547-12404514?url=https%3A%2F%2Fwww.linenchest.com%2Fen%2Fstarfrit-the-rock-indoor-smokeless-bbq-grill.html&amp;sid=rfdcb,1054,2
0,Samster,"Jun 26th, 2020 1:53 pm",,"Jun 26th, 2020 4:02 pm",Home & Garden,,3,,Home Depot,Home Improvement & Tools,WARM *YMMV* *Online Only* $301.71 all-in - Campbell Hausfeld 8 Gal. Electric Quiet Hot Dog Air Compressor at Home Depot,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=http://homedepot.ca/product/campbell-hausfeld-8-gal-electric-quiet-hot-dog-air-compressor/1001051672,1177,2
1,Andyc416,"Jun 26th, 2020 2:25 pm",,"Jun 26th, 2020 3:36 pm",Computers & Electronics,$16.66,9,,Lenovo Canada,Peripherals & Accessories,**Warm** Lenovo Legion Gaming XL Cloth Mouse Pad $16.66 free shipping,http://lenovo.evyy.net/c/341376/225728/3899?u=https%3A%2F%2Fwww.lenovo.com%2Fca%2Fen%2Faccessories-and-monitors%2Fgaming-accessories%2FACCKIT-BO-Lenovo-Legion-Mouse-Pad%2Fp%2FGXH0W29068%3Fgclid%3DCj0KCQjwudb3BRC9ARIsAEa-vUs_9Ni6f9rLDHNt-cJ3zmdFpNBqHVZUnNUFNOu7YfoapnkwGJqnbLIaAoxmEALw_wcB%26cid%3Dca%3Asem%7Cse%7Cgoogle%7Cca%2Bshopping%2Bbrand%2Blv%2Bnon-intel%7Cgs_accessories%7C%7CGXH0W29068%7C9939988307%7C101472481355%7Caud-939327936874%3Apla-430425452587%7Cshopping%7Cbrand%26ef_id%3DCj0KCQjwudb3BRC9ARIsAEa-vUs_9Ni6f9rLDHNt-cJ3zmdFpNBqHVZUnNUFNOu7YfoapnkwGJqnbLIaAoxmEALw_wcB%3AG%3As%26s_kwcid%3DAL%21373,1552,0
2,Nexzen,"Jun 24th, 2020 11:01 am",,"Jun 26th, 2020 3:36 pm",Entertainment,,6,,,"Books, Music, Movies, Magazines",Little Women Rental 99c on Apple and Amazon this week,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fitunes.apple.com%2Fca%2Fmovie%2Flittle-women%2Fid1489251504,1334,6
