,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
1238,phoreoneone,2020-06-10 14:02:00,,2020-06-26 20:24:00,Beauty & Wellness,35.0,43,,Walmart,Beauty Supplies & Personal Care,"Philips Multigroom 5000 Face, Head and Body $35",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fphilips-multigroom-5000-face-head-and-body%2F6000197315068&amp;u1=rfdcb,13767,14
1239,wills1,2020-03-03 21:45:00,,2020-06-26 20:04:00,,180.0,74,,Costco,Home & Garden,Ninja Foodi Indoor Grill $180,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FNinja-Cyclonic-Grilling-Technology-AG300C%2Fdp%2FB07TZRWG21%2Fref%3Dasc_df_B07TZRWG21%2F%3Ftag%3Dgooglemobshop-20%26amp%3Bamp%3BlinkCode%3Ddf0%26amp%3Bamp%3Bhvadid%3D341614789357%26amp%3Bamp%3Bhvpos%3D%26amp%3Bamp%3Bhvnetw%3Dg%26amp%3Bamp%3Bhvrand%3D7803419278853758179%26amp%3Bamp%3Bhvpone%3D%26amp%3Bamp%3Bhvptwo%3D%26amp%3Bamp%3Bhvqmt%3D%26amp%3Bamp%3Bhvdev%3Dm%26amp%3Bamp%3Bhvdvcmdl%3D%26amp%3Bamp%3Bhvlocint%3D%26amp%3Bamp%3Bhvlocphy%3D9000842%26amp%3Bamp%3Bhvtargid%3Dpla-813269724683%26&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,43412,9
1240,MTLGuru,2020-06-24 06:12:00,2020-07-01 00:00:00,2020-06-26 20:01:00,,,3,,,Groceries,Week of 25th of June to 1st of July grocery round up (QUEBEC),,1563,19
1241,n40ca4s,2020-06-26 19:40:00,,2020-06-26 19:40:00,Sports & Fitness,5.93,0,0.6,Canadian Tire,Other,"Rapala 4-in Ceramic Utility Knife, 5.93",https://www.canadiantire.ca/en/pdp/rapala-ceramic-utility-knife-4-in-0778309p.html,1262,2
1242,SPARTACVS,2020-06-26 15:09:00,,2020-06-26 19:12:00,Home & Garden,198.0,6,,Home Depot,Home Improvement & Tools,warm- RYOBI 40V Lithium-Ion Cordless String Trimmer and Blower / Sweeper Combo Kit,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/produit/ryobi-ens-coupe-bordure-et-souffleur-balayeuse-sans-fil-au-li-ion-40-v-2-outils-/1000858339,2186,-1
1243,Styleman,2020-06-25 12:05:00,2020-07-02 00:00:00,2020-06-26 17:54:00,Computers & Electronics,,12,,Epic Games,Video Games,Epic Games Weekly FREE GAMES - June 25 to July 2 - Stranger Things 3 and AER,,5387,61
1244,grEatbUy,2020-06-26 17:27:00,,2020-06-26 17:27:00,Computers & Electronics,299.99,0,0.21053185610147634,Amazon.ca,Peripherals & Accessories,NETGEAR Nighthawk Pro Gaming XR500 WiFi Router CDN$299,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07F8N2VHD%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1089,2
1245,CrackTheDeal,2020-06-26 07:29:00,2020-06-29 00:00:00,2020-06-26 17:24:00,,10.88,1,0.48,Amazon.ca,Computers & Electronics,"Rii Wireless Mouse RM100,Wireless Office Mouse with Nano Receiver for Laptop Computer I $10.88",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB085VMKFH7%2Fref%3Dcm_sw_r_apa_i_PQD9Eb31M3PET&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1549,-4
1246,mwatcher,2020-06-24 07:07:00,2020-07-09 00:00:00,2020-06-26 17:22:00,Computers & Electronics,6.74,17,0.75,Playstation,Video Games,"Konami Collections PS4 (Castlevania, Contra, Arcade Classics) - $6.74 each",https://store.playstation.com/en-ca/product/UP0101-CUSA13434_00-CASTLEVANIA00001,7079,33
1247,hill15,2020-06-23 09:46:00,2020-07-01 00:00:00,2020-06-26 17:20:00,,5.99,45,,Loblaws,Groceries,Provigo/Loblaws/Zehrs-Presidents Choice Gourmet Coffee 875/930g $5.99 PC Members (June 25-July 1),https://flipp.com/en-ca/east-york-on/item/499862034-loblaws-weekly-flyer,4827,8
1248,dracolnyte,2020-06-26 10:03:00,,2020-06-26 17:11:00,,,15,,Dyson,Home & Garden,"15% cashback via Rakuten at Dyson, potentially another 20% for existing customers",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36311&amp;murl=https%3A%2F%2Fwww.dysoncanada.ca%2Fen%2F&amp;u1=rfdcb,3957,3
1249,Njoelk,2020-06-24 16:33:00,,2020-06-26 17:09:00,Computers & Electronics,1399.0,30,0.12507817385866166,Visions Electronics,Computers & Tablets/eReaders,"Asus TUF 15.6"" R7-4800H / 16GB RAM / 1TB SSD / RTX2060 Laptop (TUF506IV-AS76) $1,399 In store only.",https://www.visions.ca/product-detail/57866/asus_tuf_15_6_r7_4800h_16gb_ram_1tb_ssd_rtx2060_windows_10_gaming_laptop?categoryId=715&amp;sku=TUF506IV-AS76,5204,9
